FromNodeId ToNodeId Weight
27 0 -757
27 1 -291
27 2 -295
27 3 -341
27 4 -359
27 5 -200
27 6 -65
27 7 -255
27 8 -266
27 9 -143
27 10 -394
27 11 -227
27 13 -317
27 14 -571
27 15 -193
27 16 -182
27 17 -369
27 18 -235
27 19 -109
27 21 -192
27 22 -264
27 23 -210
27 26 -414
27 28 -187
27 29 -219
27 32 -243
27 33 -285
27 35 -565
27 36 -368
27 38 -329
27 39 -194
27 40 -120
27 41 -300
27 43 -231
27 45 -410
27 46 -74
27 47 -388
27 48 -216
27 49 -330
27 50 -320
27 51 -217
27 52 -60
27 53 -405
27 54 -301
27 55 -183
27 56 -446
27 57 -456
27 59 -227
27 60 -361
27 61 -1868
27 62 -960
27 63 -230
27 64 -349
27 65 -238
27 66 -191
27 67 -185
27 68 -78
27 70 -875
27 71 -210
27 72 -319
27 74 -115
27 75 -459
27 76 -95
27 77 -142
27 78 -65
27 80 -428
27 81 -295
27 82 -333
27 83 -233
27 84 -188
27 85 -198
27 86 -75
27 87 -225
27 89 -1396
27 90 -290
27 91 -390
27 92 -731
27 93 -682
27 94 -191
27 95 -85
27 96 -230
27 97 -299
27 99 -359
27 100 -230
27 101 -238
27 102 -96
27 103 -377
27 104 -420
27 106 -490
27 107 -214
27 108 -137
27 109 -213
27 110 -267
27 111 -387
27 112 -287
27 113 -401
27 114 -481
27 115 -330
27 116 -397
27 117 -156
27 118 -540
27 119 -160
27 120 -237
27 121 -457
27 122 -565
27 123 -227
27 124 -849
27 125 -252
27 126 -344
27 127 -255
27 128 -177
27 129 -180
27 130 -184
27 131 -137
27 132 -215
27 133 -418
27 134 -414
27 136 -149
27 137 -232
27 138 -765
27 139 -150
27 140 -271
27 142 -215
27 143 -188
27 144 -219
27 145 -328
27 147 -391
27 149 -484
27 150 -322
27 151 -388
27 152 -364
27 153 -165
27 154 -785
27 156 -421
27 157 -196
27 159 -174
27 160 -256
27 162 -191
27 163 -277
27 164 -463
27 166 -225
27 167 -312
27 168 -320
27 170 -65
27 171 -400
27 172 -449
27 173 -373
27 174 -840
27 175 -189
27 176 -737
27 178 -190
27 179 -229
27 180 -214
27 181 -220
27 182 -424
27 184 -100
27 185 -423
27 186 -444
27 187 -242
27 188 -290
27 189 -161
27 190 -150
27 191 -557
27 192 -418
27 193 -115
27 194 -860
27 195 -418
27 196 -197
27 198 -285
27 199 -840
27 200 -737
27 201 -206
27 202 -467
27 203 -1969
27 204 -165
27 206 -441
27 207 -781
27 209 -747
27 210 -290
27 211 -299
27 212 -265
27 214 -480
27 215 -225
27 217 -181
27 219 -784
27 221 -234
27 222 -270
27 223 -300
27 224 -402
27 227 -211
27 228 -338
27 229 -320
27 230 -305
27 232 -266
27 233 -292
27 234 -202
27 235 -566
27 236 -452
27 237 -198
27 238 -475
27 239 -894
27 240 -278
27 241 -150
27 242 -195
27 243 -430
27 244 -60
27 245 -293
27 246 -337
27 247 -100
27 248 -360
27 250 -203
27 251 -190
27 252 -75
27 254 -249
27 255 -297
27 256 -239
27 257 -364
27 258 -297
27 259 -312
27 260 -365
27 261 -457
27 262 -766
27 263 -248
27 264 -140
27 265 -241
27 266 -147
27 267 -365
27 268 -125
27 269 -162
27 270 -427
27 271 -396
27 272 -220
27 273 -468
